,artist,track,position,date
31696,Wiz Khalifa,We Dem Boyz,13,2014-03-01
31727,Eminem Featuring Nate Ruess,Headlights,19,2014-03-08
31728,We Are Toonz,Drop That #NaeNae,20,2014-03-08
31730,Far East Movement & Riff Raff,The Illest,22,2014-03-08
31745,Pitbull Featuring G.R.L.,Wild Wild Love,12,2014-03-15
31747,Young Money Featuring Drake,Trophies,14,2014-03-15
31750,Young Money Featuring Nicki Minaj,Lookin Ass,17,2014-03-15
31753,YG Featuring Drake,Who Do You Love?,20,2014-03-15
31757,"will.i.am Featuring Miley Cyrus, French Montana, Wiz Khalifa & DJ Mustard",Feelin' Myself,24,2014-03-15
31769,Rick Ross Featuring Kanye West & Big Sean,Sanctified,11,2014-03-22
31778,"Future Featuring Pharrell, Pusha T & Casino",Move That Doh,20,2014-03-22
31780,Rick Ross Featuring French Montana,Nobody,22,2014-03-22
31783,B.o.B Featuring Priscilla,John Doe,25,2014-03-22
31800,Wisin Featuring Jennifer Lopez & Ricky Martin,Adrenalina,17,2014-03-29
31807,Snootie Wild Featuring Yo Gotti,Yayo,24,2014-03-29
31826,Lil' Boosie & Webbie Featuring Kiara,Show Da World,18,2014-04-05
31830,KCamp Featuring 2 Chainz,Cut Her Off,22,2014-04-05
31853,50 Cent,Pilot,20,2014-04-12
31881,Kid Ink Featuring Chris Brown,Main Chick,23,2014-04-19
31883,Rich Homie Quan Featuring Problem,Walk Thru,25,2014-04-19
31901,Future Featuring Kanye West,I Won,18,2014-04-26
31930,Childish Gambino,IV. Sweatpants,22,2014-05-03
31932,"Tech N9ne Featuring Kendrick Lamar, MAYDAY! & Kendall Morgan",Fragile,24,2014-05-03
31958,Rick Ross Featuring Lil Wayne,Thug Cry,25,2014-05-10
32000,"DJ Khaled Featuring Jay Z, Meek Mill, Rick Ross & French Montana",They Don't Love U No More,17,2014-05-24
32030,ScHoolboy Q Featuring BJ The Chicago Kid,Studio,22,2014-05-31
32038,Nicki Minaj,Pills N Potions,5,2014-06-07
32055,Meek Mill,I Don't Know,22,2014-06-07
32057,Becky G,Shower,24,2014-06-07
32061,Lil Wayne Featuring Drake,Believe Me,3,2014-06-14
32082,Ca$h Out,She Twerkin,24,2014-06-14
