,Unnamed: 0,Unnamed: 0.1,artist,track,position,date,lyrics
346,875,8624,Do Or Die (Featuring Twista),Po Pimp,25,1996-06-08,
347,876,8643,2Pac Featuring K-Ci And JoJo,How Do U Want It/California Love,19,1996-06-15,
348,877,8647,Mad Lion Featuring KRS-ONE And Brenda K. Starr,Double Trouble,23,1996-06-15,
349,880,8673,Domino,So Fly,24,1996-06-22,
350,882,8693,De La Soul,The Bizness/Stakes Is High,19,1996-06-29,
351,883,8697,Ruffa Featuring Tasha,Don't You Worry,23,1996-06-29,
352,884,8719,Real Live Featuring K-Def & Larry-O,Real Live Sh*t,20,1996-07-06,
353,886,8732,Busta Rhymes Featuring Zhane,It's A Party,8,1996-07-13,
354,888,8774,The Roots,Clones/Section,25,1996-07-20,
355,890,8793,Rappin' 4-Tay,A Lil' Some'em Some'em,19,1996-07-27,
356,891,8808,A+,All I See,9,1996-08-03,
357,892,8836,The 2 Live Crew,Shake A Lil' Somethin'...,12,1996-08-10,
358,894,8856,RZA Feat. Method Man & Cappadonna,"Wu-Wear: The Garment Renaissance (From ""High School High"")",7,1996-08-17,
359,895,8864,Master P Featuring Silkk & Mo B. Dick,No More Tears,15,1996-08-17,
360,898,8885,Too Short Feat. Parliament Funkadelic,Gettin' It,11,1996-08-24,
361,901,8937,Southsyde B.O.I.Z.,"Get Ready, Here It Comes (It's The Choo-Choo)",13,1996-09-07,
362,903,8974,Nonchalant,Until The Day,25,1996-09-14,
363,904,8984,Warren G Featuring Adina Howard,"What's Love Got To Do With It (From ""Supercop"")",10,1996-09-21,
364,906,8998,Chuck D,No,24,1996-09-21,
365,907,9014,Originoo Gunn Clappaz,No Fear,15,1996-09-28,
366,909,9021,DJ Polo Featuring Ron Jeremy,Freak Of The Week,22,1996-09-28,
367,915,9089,Lil' Kim Featuring Puff Daddy,No Time,15,1996-10-19,
368,917,9140,Heltah Skeltah,Therapy,16,1996-11-02,
369,920,9173,Bush Babees Featuring Mos Def,The Love Song,24,1996-11-09,
370,921,9185,Killafornia Organization,Throw It Up,11,1996-11-16,
