9248,Foxy Brown Featuring Jay-Z
9252,D.J. Trans
9265,Richie Rich
9277,Foxy Brown Featuring Jay-Z
9279,Hev-D
9293,Capone -N- Noreaga
9296,DJ Taz Featuring Raheem The Dream
9297,Westside Connection
9324,Nas
9346,Westside Connection
9358,Tela Featuring Eightball & MJG
9395,Killarmy
9404,OutKast
9426,B-Rock & The Bizz
9441,KRS-One
9447,The Notorious B.I.G.
9460,"Trapp Featuring 2pac, Notorious B.I.G."
9485,Jay-Z
9488,Mobb Deep
9508,Suga Free
9525,"Master P Featuring Steady Mobb'n, Mia X, Mo B. Dick & O'Dell"
9539,Capone -N- Noreaga
9563,Capone -N- Noreaga
9585,Born Jamericans
9586,Twista
9608,Hev-D
9615,Puff Daddy & Faith Evans Featuring 112
9617,Wyclef Jean Featuring Refugee Allstars
9640,Bone Thugs-N-Harmony
9641,Scarface Featuring 2Pac & Johnny P
9643,Warren G Featuring Ronald Isley
9656,Tha Alkaholiks Featuring Ol' Dirty Bastard
9686,Jungle Brothers
9707,Coolio Featuring 40 Thevz
9710,"Lil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar"
9711,DFC
9733,The Whoridas
9743,Rampage Featuring Billy Lawrence
9752,Magoo And Timbaland
9785,Royal Flush
9790,The Notorious B.I.G. Featuring Puff Daddy & Mase
9826,O.C. Featuring Yvette Michele
9833,Nastyboy Klick Featuring Roger Troutman
9836,B-Rock & The Bizz
9846,Foxy Brown Featuring Dru Hill
9891,Mack 10
9902,AZ Featuring SWV
9908,Foxy Brown Featuring Jay-Z
9913,Master P Featuring Pimp C And The Shocker
9919,Common Featuring Chantay Savage
9926,DJ Kool
9931,Freak Nasty
9947,"Shaquille O'Neal, Ice Cube, B Real, Peter Gunz & KRS-One"
9956,Kinfusion
9965,Lost Boyz
9966,Refugee Camp All Stars Featuring Pras (With Ky-mani)
9972,Hurricane G
9981,Foxy Brown Featuring Dru Hill
9993,The Beatnuts Featuring Big Punisher & Cuban Link
9998,EPMD
10006,RBL Posse
10022,Jay-Z Featuring Babyface And Foxy Brown
10028,RBL Posse
10046,Mr. Money Loc
10051,Royal Flush
10063,Bone Thugs-N-Harmony
10090,Twista
10094,Queen Pen Featuring Teddy Riley
10101,Royal Flush
10103,Mase
10112,Big Punisher
10114,Capone -N- Noreaga
10145,Craig Mack
10146,Naughty By Nature
10151,Rodney O
10152,D'Meka
10173,Nice & Smooth
10174,Lil' O
10176,Fraze
10189,E-A-Ski Featuring Montell Jordan
10221,Kinsu
10229,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase)
10232,Gang Starr
10239,The Notorious B.I.G.
10247,Shaqueen
10252,Young M.C.
10256,WC From Westside Connection
10270,2Pac
10301,K.P. & Envyi
10307,Sting & The Police
10311,Lord Tariq & Peter Gunz
10312,"LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P"
10326,Rampage
10339,Militia
10359,Busta Rhymes
10397,Heat
10428,LL Cool J
10432,Mase Featuring Total
10433,"Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal"
10445,The Psycho Realm
10449,Onyx + Wu-Tang Clan
10454,Wyclef Jean
10461,The Lox
10476,Born Jamericans
10493,Sylk-E. Fyne Featuring Chill
10495,M.O.P.
10497,Mic Geronimo Featuring DMX & Black Rob
10521,Will Smith
10525,DMX Featuring Sheek Of The Lox
10546,Kingpin Skinny Pimp
10558,JD Featuring Da Brat
10563,Queen Pen Featuring Eric Williams
10577,Nadanuf
10591,Jay-Z  Featuring BLACKstreet
10608,2Pac Featuring Eric Williams
10612,Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh
10617,"Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo"
10626,Beenie Man
10641,Luke Featuring No Good But So Good
10643,Salt-N-Pepa
10651,Do Or Die Featuring Johnny P & Twista
10661,Will Smith
10679,Canibus
10691,Beenie Man
10724,Jay-Z  Featuring BLACKstreet
10756,Salt-N-Pepa
10767,LL Cool J
10769,"Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo"
10819,Militia
10841,"Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo"
10844,Jay-Z  Featuring BLACKstreet
10861,Mr. Money Loc Featuring Above The Law
10874,Beenie Man
10907,B.L.H.U.N.T.
10912,Mr. Money Loc Featuring Above The Law
10934,Players For Life
10935,B.L.H.U.N.T.
10937,Puff Daddy Featuring Jimmy Page
10948,"Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal"
10952,Cosmic Slop Shop
10974,Wyclef Jean
10980,Cosmic Slop Shop
10992,Hi-Town DJs
11009,69 Boyz
11020,Twista & The Speed Knot Mobstaz
11022,Lord Tariq & Peter Gunz
11033,Mase Featuring Puff Daddy
11044,Lord Tariq & Peter Gunz
11048,Goodie Mob Featuring Outkast
11067,"DJ Smurf Featuring DJ Taz, DJ Kizzy Rock And June Dog"
11075,Cosmic Slop Shop
11081,Wyclef Jean Featuring Queen Pen & The Product
11090,Cam'Ron Featuring Mase
11102,Queen Latifah Featuring Apache
11105,"Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick"
11132,Heather B.
11139,Tee Kee
11159,Luke Featuring No Good But So Good
11169,Snoop Dogg
11192,"Tragedy, Capone, Infinite"
11193,Noreaga
11201,B.L.H.U.N.T.
11226,Heather B.
11230,All City
11231,Professor Griff
11250,All City
11262,Queen Latifah Featuring Apache
11275,A Tribe Called Quest
11292,Mr. Money Loc Featuring Above The Law
11305,Xzibit
11315,Puff Daddy Featuring Jimmy Page
11322,Brand Nubian
11332,69 Boyz
11335,Nastyboy Klick
11343,Ice Cube Featuring Mr. Short Khop
11347,Mia X Featuring Charlie Wilson
11372,Mack 10 Featuring Gerald Levert
11380,Jay-Z
11387,Cypress Hill
11389,General Grant
11405,A+
11407,"DMX, Method Man, NAS, Ja Rule"
11413,5CENT Featuring Sh'killa
11419,Mo Thugs Family Featuring Bone Thugs-N-Harmony
11432,"Tragedy, Capone, Infinite"
11434,"DMX, Method Man, NAS, Ja Rule"
11446,Big Daddy Kane
11455,DMX
11457,Chuck Smooth
